0.000000e+00, 6.293521e+03
2.000000e-02, 6.265790e+03
4.000000e-02, 6.199646e+03
6.000000e-02, 6.184082e+03
8.000000e-02, 6.217939e+03
1.000000e-01, 6.164424e+03
1.200000e-01, 6.061400e+03
1.400000e-01, 6.003185e+03
1.600000e-01, 5.867549e+03
1.800000e-01, 5.836504e+03
2.000000e-01, 5.642692e+03
2.200000e-01, 5.621450e+03
2.400000e-01, 5.480910e+03
2.600000e-01, 5.328814e+03
2.800000e-01, 5.214851e+03
3.000000e-01, 5.097149e+03
3.200000e-01, 4.941160e+03
3.400000e-01, 4.780179e+03
3.600000e-01, 4.654370e+03
3.800000e-01, 4.462779e+03
4.000000e-01, 4.321587e+03
4.200000e-01, 4.105926e+03
4.400000e-01, 3.945681e+03
4.600000e-01, 3.819520e+03
4.800000e-01, 3.644278e+03
5.000000e-01, 3.517725e+03
5.200000e-01, 3.356423e+03
5.400000e-01, 3.185519e+03
5.600000e-01, 3.018163e+03
5.800000e-01, 2.862815e+03
6.000000e-01, 2.708160e+03
6.200000e-01, 2.558133e+03
6.400000e-01, 2.408174e+03
6.600000e-01, 2.250111e+03
6.800000e-01, 2.149499e+03
7.000000e-01, 1.992894e+03
7.200000e-01, 1.878975e+03
7.400000e-01, 1.748123e+03
7.600000e-01, 1.634203e+03
7.800000e-01, 1.526943e+03
8.000000e-01, 1.416798e+03
8.200000e-01, 1.311880e+03
8.400000e-01, 1.207316e+03
8.600000e-01, 1.129663e+03
8.800000e-01, 1.032227e+03
9.000000e-01, 9.727161e+02
9.200000e-01, 8.818386e+02
9.400000e-01, 8.053426e+02
9.600000e-01, 7.342894e+02
9.800000e-01, 6.714795e+02
1.000000e+00, 6.058140e+02
1.020000e+00, 5.610397e+02
1.040000e+00, 5.170817e+02
1.060000e+00, 4.609720e+02
1.080000e+00, 4.175422e+02
1.100000e+00, 3.766926e+02
1.120000e+00, 3.416846e+02
1.140000e+00, 3.061637e+02
1.160000e+00, 2.772125e+02
1.180000e+00, 2.479544e+02
1.200000e+00, 2.205299e+02
1.220000e+00, 1.966760e+02
1.240000e+00, 1.757865e+02
1.260000e+00, 1.583350e+02
1.280000e+00, 1.382156e+02
1.300000e+00, 1.241588e+02
1.320000e+00, 1.097773e+02
1.340000e+00, 9.598900e+01
1.360000e+00, 8.667679e+01
1.380000e+00, 7.525283e+01
1.400000e+00, 6.581760e+01
1.420000e+00, 5.721027e+01
1.440000e+00, 5.052933e+01
1.460000e+00, 4.392971e+01
1.480000e+00, 3.899211e+01
1.500000e+00, 3.353970e+01
1.520000e+00, 2.904803e+01
1.540000e+00, 2.571413e+01
1.560000e+00, 2.184375e+01
1.580000e+00, 1.881946e+01
1.600000e+00, 1.638426e+01
1.620000e+00, 1.420194e+01
1.640000e+00, 1.225793e+01
1.660000e+00, 1.024563e+01
1.680000e+00, 8.939736e+00
1.700000e+00, 7.638408e+00
1.720000e+00, 6.548569e+00
1.740000e+00, 5.595069e+00
1.760000e+00, 4.738768e+00
1.780000e+00, 3.997105e+00
1.800000e+00, 3.367982e+00
1.820000e+00, 2.849989e+00
1.840000e+00, 2.417961e+00
1.860000e+00, 2.035729e+00
1.880000e+00, 1.713445e+00
1.900000e+00, 1.427028e+00
1.920000e+00, 1.207425e+00
1.940000e+00, 1.005320e+00
1.960000e+00, 8.375423e-01
1.980000e+00, 6.942394e-01
